what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1747111860873
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1747111860873
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1747111860873
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1747111860873
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1747111860873
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1747111860873
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1747111860873
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1747111860873
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1747111860873
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1747111860873
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1747111860873
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1747111860873
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1747111860873
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1747111860873
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1747111860873
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1747111860873
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1747111860873
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1747111860873
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1747111860873
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1747111860873
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1747111860873
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1747111860873
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1747111860873
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1747111860873
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1747111860873
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1747111860873
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1747111860873
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1747111860884
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1747111860884
os,sysinfo,,,"win32",1747111860884
arch,sysinfo,,,"x86",1747111860884
ws,sysinfo,,,"win32",1747111860884
locale,sysinfo,,,"en_US",1747111860884
processors,sysinfo,,,"12",1747111860884
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1747111860884
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1747111860884
java.specification.name,sysinfo,,,"Java Platform API Specification",1747111860884
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1747111860884
java.specification.version,sysinfo,,,"1.6",1747111860884
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1747111860884
java.version,sysinfo,,,"1.6.0_23",1747111860884
java.vm.info,sysinfo,,,"mixed mode",1747111860884
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1747111860884
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1747111860884
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1747111860884
java.vm.specification.version,sysinfo,,,"1.0",1747111860884
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1747111860884
java.vm.version,sysinfo,,,"19.0-b09",1747111860884
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747111864005
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1747111866174
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1747111866286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747111867790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747111869157
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1747111869165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1747111869165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747111870902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747111871827
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1747111871833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1747111871833
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1747111874415
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747111874493
